23618;90;66
23619;90;67
23620;90;67
23621;90;61
23622;90;75
23623;90;74
23624;90;68
23625;90;73
23626;90;65
23627;90;66
23628;90;64
23629;90;64
23630;90;66
23631;90;69
23632;90;67
23633;90;72
23634;90;54
23635;90;74
23637;90;71
23636;90;70
23638;90;72
23639;90;72
23640;90;66
23641;90;72
23642;90;72
23643;90;62
23645;90;65
23644;90;76
23646;90;75
23647;90;61
23648;90;73
23649;90;72
23650;90;75
23651;90;73
23652;90;60
23653;90;63
23654;90;58
23656;90;69
23655;90;70
23658;90;71
23659;90;70
23657;90;72
23660;90;79
23661;90;69
23662;90;63
23664;90;65
23663;90;63
23665;90;72
23666;90;62
23667;90;59
23668;90;72
23669;90;67
23670;90;69
23671;90;66
23673;90;72
23672;90;71
23674;90;64
23675;90;68
23676;90;75
23677;90;69
23678;90;73
23679;90;64
23680;90;75
23682;90;69
23683;90;69
23681;90;65
23684;90;66
23685;90;68
23686;90;74
23687;90;68
23688;90;70
23689;90;66
23690;90;68
23691;90;72
23692;90;67
23693;90;72
23694;90;76
23695;90;75
23696;90;67
23697;90;70
23698;90;56
23699;90;62
23700;90;67
23701;90;68
23702;90;65
23703;90;66
23704;90;69
23705;90;73
23706;90;68
23707;90;67
23708;90;69
23709;90;71
23710;90;72
23711;90;72
23712;90;65
23713;90;71
23714;90;67
23715;90;72
23716;90;71
23717;90;76
